artist,album,play_count
Silverstein,A Shipwreck in the Sand (Deluxe Edition),129
Silverstein,Rescue,124
Vinnie Paz,Season of the Assassin,115
Vinnie Paz,God of The Serengeti,109
Silverstein,This Is How the Wind Shifts,106
Rise Against,Endgame,102
Sum 41,Does This Look Infected?,100
Rise Against,Appeal to Reason,96
blink-182,Blink 182 (Australian Exclusive Tour Edition),96
Sum 41,Screaming Bloody Murder,96
Cory Gunz,Son of a gun,96
Hollywood Undead,Notes From The Underground,94
NOFX,The Longest EP,94
Rise Against,The Unraveling (2005 Remaster),93
Gang Starr,Full Clip: A Decade Of Gang Starr,92
Sum 41,Underclass Hero,87
Sum 41,All Killer No Filler,83
Destroy Rebuild Until God Shows,D.R.U.G.S.,82
We Came As Romans,Tracing Back Roots,82
Bayside,Killing Time,80
Box Car Racer,Box Car Racer,79
King Louie,Featuring Tony,77
Silverstein,Short Songs,76
The Offspring,Days Go By,75
Lloyd Banks,V6: The Gift,74
Blindside,With Shivering Hearts We Wait,74
Jay-Z,The Black Album,71
blink-182,Dogs Eating Dogs - EP,70
Lil' Wayne,Lil Wayne - No Ceilings 2,70
"Royce da 5'9""",Success Is Certain,70
Lil' Wayne,Dedication 5,68
blink-182,"The Mark, Tom & Travis Show",68
Swedish House Mafia,Until Now,68
Set It Off,Cinematics,66
Slaughterhouse,Welcome To Our House,66
Phil Ade,#PhilAdeFriday,65
Skillet,Awake,65
Bad Meets Evil,Hell: The Sequel Deluxe Edition,64
blink-182,Take Off Your Pants and Jacket,63
Eminem,Eminem Presents: The Re-Up,61
Set Your Goals,This Will Be The Death of Us,61
Angels & Airwaves,I-Empire,60
Dance Gavin Dance,Instant Gratification,60
Rise Against,Siren Song of the Counter Culture,60
Jedi Mind Tricks,Violence Begets Violence,60
Random Holiday,Space to Grow,59
50 Cent,Get Rich Or Die Tryin',58
Dutch,A Bright Cold Day,56
Hollywood Undead,American Tragedy (Deluxe Edition),56
Eminem,Recovery,56
Ubiquitous Synergy Seeker,APPROVED EP,55
Lloyd Banks,H.F.M. 2 (The Hunger for More 2),54
Army of the Pharaohs,In Death Reborn,54
Ubiquitous Synergy Seeker,Questamation,54
Army of the Pharaohs,Ritual Of Battle,54
