artist,play_count
Young Thug,805
blink-182,741
Silverstein,673
Eminem,641
Lil' Wayne,611
Rise Against,605
Sum 41,605
Lloyd Banks,595
araabMUZIK,398
"Royce da 5'9""",360
Tech N9ne,321
King Louie,309
Vinnie Paz,308
Travi$ Scott,292
The Offspring,260
Kanye West,253
Jedi Mind Tricks,245
Ubiquitous Synergy Seeker,243
Dance Gavin Dance,242
Future World Music,227
JAY-Z,227
Army of the Pharaohs,219
50 Cent,215
Pusha T,211
Linkin Park,206
We Came As Romans,205
Hollywood Undead,193
Blindside,176
Angels & Airwaves,170
Set Your Goals,166
Ace Hood,164
I See Stars,163
Slaughterhouse,152
The Notorious B.I.G.,139
Emery,138
Gang Starr,137
Cory Gunz,134
Random Holiday,133
Exam Krackers,123
Billy Talent,119
Drake,119
Two Steps from Hell,119
Gucci Mane,115
Fabolous,110
Destroy Rebuild Until God Shows,108
Family Force 5,107
Simple Plan,107
Bad Meets Evil,106
NOFX,106
Swedish House Mafia,106
Chiodos,105
Bring Me the Horizon,103
Chief Keef,103
Future,103
Bayside,102
Obie Trice,101
Set It Off,101
Mac Miller,95
Kendrick Lamar,94
Anberlin,92
Fort Minor,92
Tory Lanez,92
Kid Cudi,91
Apathy,90
Taking Back Sunday,90
Box Car Racer,89
Tyga,89
Skrillex,88
The Used,86
Bilmuri,85
Los,85
And So I Watch You From Afar,83
J. Cole,83
Skillet,83
Mindless Self Indulgence,81
Trash Boat,81
The Starting Line,78
Phil Ade,74
Styles of Beyond,74
Conditions,73
The Browning,73
Desiigner,71
Uncle Murda,70
Ca$his,68
Immortal Technique,68
Kevin Gates,68
All Time Low,67
Fred The Godson,65
Go Periscope,65
Jay-Z & Kanye West,65
Big Sean,64
Extreme Music,64
Brendan Rivera,63
Somewhere in Time,63
Oceana,62
Ashes of Soma,61
Attack Attack!,61
Ludacris,61
Xzibit,60
Mike Will Made-It,59
Bankroll Mafia,58
Nas,58
Real Friends,58
The Downtown Fiction,57
Yelawolf,57
A$AP Rocky,56
Dutch,56
Infected Mushroom,56
Halestorm,55
Blaq Poet,54
Hopsin,54
Looking Glass Wars,54
"Myka, Relocate",54
2 Chainz,53
D12,53
Four Year Strong,53
La Dispute,53
Young Jeezy,52
Vince Staples,51
Common,49
Hustle Gang,49
Wiz Khalifa,48
A Day to Remember,47
Before Their Eyes,47
T.I.,47
The Bigger Lights,47
Raekwon,46
Sean Price,46
Quavo,45
Joell Ortiz,44
Panic! at the Disco,44
Juicy J,43
PeeWee Longway,43
Sleeping With Sirens,43
Clipse,42
Rich Homie Quan,42
Lil Herb,41
The Devil Wears Prada,41
Enter Shikari,40
Fall Out Boy,40
Abandon All Ships,39
Parov Stelar,39
Rage Against the Machine,39
Riff Raff,39
Eidola,38
Jim Jones,38
Breathe Carolina,37
Jay Rock,37
Stevie Stone,37
Stromae,37
Amyst,36
Asking Alexandria,36
Close Your Eyes,36
Dr. Dre,36
Good Charlotte,36
Italobrothers,36
Kardinal Offishall & Nottz Raw,36
Metro Boomin,36
Pi'erre Bourne,36
Yellowcard,36
Erra,35
Jon Connor,35
Lily Allen,35
Not Advised,35
PRhyme,35
Three Days Grace,35
Uss,35
"Xzibit, B Real & Demrick (Serial Killers)",35
Mayday Parade,34
Lil Uzi Vert,33
Lupe Fiasco,33
Mitch Hedberg,33
Post Malone,33
X-Ray Dog,33
6ix9ine,32
Alesana,31
Busta Rhymes,31
FKi,31
Jimmy Eat World,31
Sparks The Rescue,31
Bowling for Soup,30
David Guetta,30
Killy,30
Plain White T's,30
Snow Patrol,30
30 Seconds to Mars,29
Brennan Heart,29
Carnage,29
Logic,29
Young De X Scoop Deville,29
Chris Brown,28
Crooked I,28
HS87,28
Joe Budden,28
Maffew Ragazino,28
Motionless in White,28
Slim The Mobster,28
Tito Lopez,28
XXXTentacion,28
Benefit,27
