artist,track,play_count
Skrillex,Cusp (Remix),48
blink-182,Aliens Exist,43
blink-182,Easy Target,40
Silverstein,SOS,40
Skillet,Monster,39
Silverstein,Sacrifice,38
Oceana,Joy,36
Lil' Wayne,No Worries Feat Detail,34
Sum 41,This Is Goodbye,34
JAY-Z,Hate (feat. Kanye West),33
Looking Glass Wars,Oh What a Party it Will Be,33
Silverstein,In Silent Seas We Drown,33
blink-182,Asthenia,32
Destroy Rebuild Until God Shows,"Stop Reading, Start Doing Pushups",32
Sum 41,Confusion and Frustration in Modern Times,32
50 Cent,Places to Go,30
King Louie,Broke [Prod. By Young Chop],30
Set Your Goals,I'll Walk It Off,30
Sparks The Rescue,"Water Your Heart (Safe, Sound, and Buried)",30
The Downtown Fiction,I Just Wanna Run,30
Hollywood Undead,Another Way Out,29
Rise Against,Death Blossoms,29
Blindside,There Must Be Something in the Water,28
Lil Wayne,Dipset 2,28
Lloyd Banks,We Run The Town feat Vado (Prod by Automatic) (DatPiff Exclusive),28
"Royce da 5'9""",Merry Go Round,28
Silverstein,Sin & Redemption,28
Vinnie Paz,WarMonger,28
And So I Watch You From Afar,Search:Party:Animal,27
blink-182,Dogs Eating Dogs,27
Go Periscope,Silver Wings,27
Random Holiday,The Beauty of Losing Sight,27
Somewhere in Time,Diploma Candidate,27
Ashes of Soma,Bedroom Walls,26
blink-182,Stockholm Syndrome,26
Fred The Godson,Daddy Gettin’ Money f. Diddy,26
Three Days Grace,Break,26
50 Cent,Patiently Waiting,25
Ashes of Soma,The Game,25
Attack Attack!,Last Breath,25
JAY-Z,Dirt Off Your Shoulder,25
Lloyd Banks,Shock The World (DatPiff Exclusive),25
Nathan,Young Thug - Sake Of My Kids (In It For Love),25
NOFX,Everything In Moderation (Especially Moderation),25
Silverstein,Replace You,25
Stevie Stone,Raw Talk (Feat. Hopsin And Swizzz),25
The Offspring,Slim Pickens Does the Right Thing and Rides the Bomb to Hell,25
Vinnie Paz,Feign Submission (Interlude),25
Vinnie Paz,Shadow Of The Guillotine Feat. Q-Unique,25
Young Jeezy,Who Dat,25
Abandon All Ships,Ahmed,24
Cory Gunz,Young Mula (Prod by Dot N Pro) (DatPiff Exclusive),24
Family Force 5,Color of Water,24
Family Force 5,Never Let Me Go,24
Proof,Trapped,24
Set Your Goals,Only Right Now,24
Silverstein,The Artist,24
Vinnie Paz,Street Wars,24
All Time Low,Hello Brooklyn,23
Bayside,Seeing Sound,23
